Time elapsed	Time stamp	Settings Illumination area	Settings Min voltage	Settings Max voltage	Settings Stepwidth SMU	Settings Reverse polarity	Settings 2 User Name	Settings 2 OSOL Number	Settings 2 Comment	Settings 2 Lesker type	SAMPLE filter wheel optimization Filter	SAMPLE filter wheel measurement Filter	SAMPLE SMU measurement Voltage	SAMPLE SMU measurement Current	SAMPLE current density current_density	SAMPLE voltage voltage
s		mm^2	V	V	V								V	A	mA/cm2	V

1.20457076e+03	2024-06-11T13:37:46.657001	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.50000000e+00	-8.08695400e-10	-1.25573820e-05	1.50000000e+00
1.20508912e+03	2024-06-11T13:37:47.175852	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.48000000e+00	-7.47657800e-10	-1.16095932e-05	1.48000000e+00
1.20560297e+03	2024-06-11T13:37:47.689565	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.46000000e+00	-7.11043300e-10	-1.10410450e-05	1.46000000e+00
1.20610484e+03	2024-06-11T13:37:48.191921	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.44000000e+00	-6.65106600e-10	-1.03277422e-05	1.44000000e+00
1.20660925e+03	2024-06-11T13:37:48.696127	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.42000000e+00	-7.02015600e-10	-1.09008634e-05	1.42000000e+00
1.20710422e+03	2024-06-11T13:37:49.190771	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.40000000e+00	-6.26088800e-10	-9.72187578e-06	1.40000000e+00
1.20762311e+03	2024-06-11T13:37:49.709481	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.38000000e+00	-6.28619400e-10	-9.76117081e-06	1.38000000e+00
1.20812699e+03	2024-06-11T13:37:50.213522	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.36000000e+00	-6.43762200e-10	-9.99630745e-06	1.36000000e+00
1.20863715e+03	2024-06-11T13:37:50.723682	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.34000000e+00	-5.46406800e-10	-8.48457764e-06	1.34000000e+00
1.20916054e+03	2024-06-11T13:37:51.247154	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.32000000e+00	-6.01073700e-10	-9.33344255e-06	1.32000000e+00
1.20968169e+03	2024-06-11T13:37:51.768878	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.30000000e+00	-5.69690800e-10	-8.84613043e-06	1.30000000e+00
1.21017272e+03	2024-06-11T13:37:52.259844	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.28000000e+00	-5.38644800e-10	-8.36404969e-06	1.28000000e+00
