Time elapsed	Time stamp	Settings Illumination area	Settings Min voltage	Settings Max voltage	Settings Stepwidth SMU	Settings Reverse polarity	Settings 2 User Name	Settings 2 OSOL Number	Settings 2 Comment	Settings 2 Lesker type	SAMPLE filter wheel optimization Filter	SAMPLE filter wheel measurement Filter	SAMPLE SMU measurement Voltage	SAMPLE SMU measurement Current	SAMPLE current density current_density	SAMPLE voltage voltage
s		mm^2	V	V	V								V	A	mA/cm2	V

1.65561330e+03	2024-06-11T13:45:17.704649	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.50000000e+00	-9.99993200e-03	-1.55278447e+02	1.50000000e+00
1.65613805e+03	2024-06-11T13:45:18.229847	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.48000000e+00	-9.99992700e-03	-1.55278370e+02	1.48000000e+00
1.65666679e+03	2024-06-11T13:45:18.758553	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.46000000e+00	-9.99992800e-03	-1.55278385e+02	1.46000000e+00
1.65718743e+03	2024-06-11T13:45:19.279381	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.44000000e+00	-9.99993000e-03	-1.55278416e+02	1.44000000e+00
1.65773329e+03	2024-06-11T13:45:19.825076	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.42000000e+00	-9.99993000e-03	-1.55278416e+02	1.42000000e+00
1.65824032e+03	2024-06-11T13:45:20.331832	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.40000000e+00	-9.99993000e-03	-1.55278416e+02	1.40000000e+00
1.65875788e+03	2024-06-11T13:45:20.849545	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.38000000e+00	-9.99992800e-03	-1.55278385e+02	1.38000000e+00
1.65926136e+03	2024-06-11T13:45:21.352826	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.36000000e+00	-9.99993000e-03	-1.55278416e+02	1.36000000e+00
1.65982085e+03	2024-06-11T13:45:21.913067	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.34000000e+00	-9.99993200e-03	-1.55278447e+02	1.34000000e+00
1.66035067e+03	2024-06-11T13:45:22.443059	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.32000000e+00	-9.99993400e-03	-1.55278478e+02	1.32000000e+00
1.66086289e+03	2024-06-11T13:45:22.954773	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.30000000e+00	-9.98854900e-03	-1.55101693e+02	1.30000000e+00
1.66138514e+03	2024-06-11T13:45:23.476971	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.28000000e+00	-9.85722500e-03	-1.53062500e+02	1.28000000e+00
